from,to,x1,y1,z1,x2,y2,z2,th1_a,th2_a,th1_b,th2_b,dTh1,dTh2,dZ,dist_xyz,rep,time_ms
E4,T3,-207.0,-192.0,28.0,175.0,-8.0,25.0,-175.44815568334178,91.11833911238998,-52.601651287123126,129.94443805183695,122.84650439621865,38.82609893944698,3.0,424.0153299115493,2,924.3384753717075
E4,T3,-207.0,-192.0,28.0,175.0,-8.0,25.0,-175.44815568334178,91.11833911238998,-52.601651287123126,129.94443805183695,122.84650439621865,38.82609893944698,3.0,424.0153299115493,3,905.4462031228742
E4,T4,-207.0,-192.0,28.0,175.0,-8.0,147.0,-175.44815568334178,91.11833911238998,-52.601651287123126,129.94443805183695,122.84650439621865,38.82609893944698,119.0,440.3873295180051,1,903.9386906018552
E4,T4,-207.0,-192.0,28.0,175.0,-8.0,147.0,-175.44815568334178,91.11833911238998,-52.601651287123126,129.94443805183695,122.84650439621865,38.82609893944698,119.0,440.3873295180051,2,951.5437672216625
E4,T4,-207.0,-192.0,28.0,175.0,-8.0,147.0,-175.44815568334178,91.11833911238998,-52.601651287123126,129.94443805183695,122.84650439621865,38.82609893944698,119.0,440.3873295180051,3,963.7195218069361
E4,T5,-207.0,-192.0,28.0,330.0,-5.0,25.0,-175.44815568334178,91.11833911238998,-30.63151571123601,69.42528215850687,144.81663997210578,21.6930569538831,3.0,568.6360874935745,1,1081.336901665073
E4,T5,-207.0,-192.0,28.0,330.0,-5.0,25.0,-175.44815568334178,91.11833911238998,-30.63151571123601,69.42528215850687,144.81663997210578,21.6930569538831,3.0,568.6360874935745,2,1058.5851450249943
E4,T5,-207.0,-192.0,28.0,330.0,-5.0,25.0,-175.44815568334178,91.11833911238998,-30.63151571123601,69.42528215850687,144.81663997210578,21.6930569538831,3.0,568.6360874935745,3,1107.270320296248
E4,T6,-207.0,-192.0,28.0,330.0,-5.0,147.0,-175.44815568334178,91.11833911238998,-30.63151571123601,69.42528215850687,144.81663997210578,21.6930569538831,119.0,580.9466412675092,1,1053.434417862841
E4,T6,-207.0,-192.0,28.0,330.0,-5.0,147.0,-175.44815568334178,91.11833911238998,-30.63151571123601,69.42528215850687,144.81663997210578,21.6930569538831,119.0,580.9466412675092,2,1067.6175641042234
E4,T6,-207.0,-192.0,28.0,330.0,-5.0,147.0,-175.44815568334178,91.11833911238998,-30.63151571123601,69.42528215850687,144.81663997210578,21.6930569538831,119.0,580.9466412675092,3,1100.9697128192076
T1,E1,290.0,-200.0,25.0,207.0,-342.0,28.0,-59.224278860592435,57.034975047121236,-60.5427438858443,3.9492909450046634,1.318465025251868,53.08568410211657,3.0,164.50531906294094,1,472.0978868307628
T1,E1,290.0,-200.0,25.0,207.0,-342.0,28.0,-59.224278860592435,57.034975047121236,-60.5427438858443,3.9492909450046634,1.318465025251868,53.08568410211657,3.0,164.50531906294094,2,538.0106561092852
T1,E1,290.0,-200.0,25.0,207.0,-342.0,28.0,-59.224278860592435,57.034975047121236,-60.5427438858443,3.9492909450046634,1.318465025251868,53.08568410211657,3.0,164.50531906294094,3,513.81039525989
T1,E2,290.0,-200.0,25.0,207.0,-192.0,28.0,-59.224278860592435,57.034975047121236,-81.14223010514085,91.11833911238998,21.91795124454842,34.08336406526874,3.0,83.43860018001261,1,384.9117160159356
T1,E2,290.0,-200.0,25.0,207.0,-192.0,28.0,-59.224278860592435,57.034975047121236,-81.14223010514085,91.11833911238998,21.91795124454842,34.08336406526874,3.0,83.43860018001261,2,380.2871854234697
T1,E2,290.0,-200.0,25.0,207.0,-192.0,28.0,-59.224278860592435,57.034975047121236,-81.14223010514085,91.11833911238998,21.91795124454842,34.08336406526874,3.0,83.43860018001261,3,387.23258345508924
T1,E3,290.0,-200.0,25.0,-207.0,-342.0,28.0,-59.224278860592435,57.034975047121236,-122.91269320332108,3.9492909450046634,63.68841434272865,53.08568410211657,3.0,516.896508016837,1,561.9437273691995
T1,E3,290.0,-200.0,25.0,-207.0,-342.0,28.0,-59.224278860592435,57.034975047121236,-122.91269320332108,3.9492909450046634,63.68841434272865,53.08568410211657,3.0,516.896508016837,2,525.630185179064
T1,E3,290.0,-200.0,25.0,-207.0,-342.0,28.0,-59.224278860592435,57.034975047121236,-122.91269320332108,3.9492909450046634,63.68841434272865,53.08568410211657,3.0,516.896508016837,3,580.1139795093222
T1,E4,290.0,-200.0,25.0,-207.0,-192.0,28.0,-59.224278860592435,57.034975047121236,-175.44815568334178,91.11833911238998,116.22387682274935,34.08336406526874,3.0,497.07343521858013,1,912.9781902086897
T1,E4,290.0,-200.0,25.0,-207.0,-192.0,28.0,-59.224278860592435,57.034975047121236,-175.44815568334178,91.11833911238998,116.22387682274935,34.08336406526874,3.0,497.07343521858013,2,915.9191620425773
T1,E4,290.0,-200.0,25.0,-207.0,-192.0,28.0,-59.224278860592435,57.034975047121236,-175.44815568334178,91.11833911238998,116.22387682274935,34.08336406526874,3.0,497.07343521858013,3,923.9474450127714
T1,T2,290.0,-200.0,25.0,290.0,-200.0,147.0,-59.224278860592435,57.034975047121236,-59.224278860592435,57.034975047121236,0.0,0.0,122.0,122.0,1,817.4674833204245
T1,T2,290.0,-200.0,25.0,290.0,-200.0,147.0,-59.224278860592435,57.034975047121236,-59.224278860592435,57.034975047121236,0.0,0.0,122.0,122.0,2,818.8797447922426
T1,T2,290.0,-200.0,25.0,290.0,-200.0,147.0,-59.224278860592435,57.034975047121236,-59.224278860592435,57.034975047121236,0.0,0.0,122.0,122.0,3,799.66761804635
T1,T3,290.0,-200.0,25.0,175.0,-8.0,25.0,-59.224278860592435,57.034975047121236,-52.601651287123126,129.94443805183695,6.622627573469309,72.90946300471572,0.0,223.80571931923456,1,645.1726768384547
T1,T3,290.0,-200.0,25.0,175.0,-8.0,25.0,-59.224278860592435,57.034975047121236,-52.601651287123126,129.94443805183695,6.622627573469309,72.90946300471572,0.0,223.80571931923456,2,677.4658956122726
T1,T3,290.0,-200.0,25.0,175.0,-8.0,25.0,-59.224278860592435,57.034975047121236,-52.601651287123126,129.94443805183695,6.622627573469309,72.90946300471572,0.0,223.80571931923456,3,661.6041571087802
T1,T4,290.0,-200.0,25.0,175.0,-8.0,147.0,-59.224278860592435,57.034975047121236,-52.601651287123126,129.94443805183695,6.622627573469309,72.90946300471572,122.0,254.89801882321487,1,762.2092335648924
T1,T4,290.0,-200.0,25.0,175.0,-8.0,147.0,-59.224278860592435,57.034975047121236,-52.601651287123126,129.94443805183695,6.622627573469309,72.90946300471572,122.0,254.89801882321487,2,804.2390975506025
T1,T4,290.0,-200.0,25.0,175.0,-8.0,147.0,-59.224278860592435,57.034975047121236,-52.601651287123126,129.94443805183695,6.622627573469309,72.90946300471572,122.0,254.89801882321487,3,783.5640414240868
T1,T5,290.0,-200.0,25.0,330.0,-5.0,25.0,-59.224278860592435,57.034975047121236,-30.63151571123601,69.42528215850687,28.592763149356426,12.390307111385638,0.0,199.06029237394384,1,284.8733100454229
